Symbol,Date,Close
NKE,2019-09-10,86.83
NKE,2019-09-11,86.75
NKE,2019-09-12,87.67
NKE,2019-09-13,87.32
NKE,2019-09-16,87.27
NKE,2019-09-17,87.59
NKE,2019-09-18,88.08
NKE,2019-09-19,87.7
NKE,2019-09-20,86.68
NKE,2019-09-23,87.69
NKE,2019-09-24,87.18
NKE,2019-09-25,90.81
NKE,2019-09-26,92.17
NKE,2019-09-27,92.31
PFE,2019-03-20,42.17
PFE,2019-03-21,42.35
PFE,2019-03-22,41.85
PFE,2019-03-25,41.89
PFE,2019-03-26,42.42
PFE,2019-03-27,42.02
PFE,2019-03-28,42.29
PFE,2019-03-29,42.47
PFE,2019-04-01,42.84
PFE,2019-04-02,42.91
PFE,2019-04-03,42.84
PFE,2019-04-04,42.74
PFE,2019-04-05,42.99
PFE,2019-04-08,43.14
PFE,2019-04-09,42.84
PFE,2019-04-10,42.73
PFE,2019-04-11,42.27
PFE,2019-04-12,41.71
PFE,2019-04-15,42.09
PFE,2019-04-16,40.92
PFE,2019-04-17,39.88
PFE,2019-04-22,38.98
PFE,2019-04-23,39.42
PFE,2019-04-24,39.37
PFE,2019-04-25,39.61
PFE,2019-04-26,39.97
PFE,2019-04-29,39.59
PFE,2019-04-30,40.61
PFE,2019-05-01,40.77
PFE,2019-05-02,41.01
PFE,2019-05-03,41.39
PFE,2019-05-06,41.65
PFE,2019-05-07,40.83
PFE,2019-05-08,40.95
PFE,2019-05-09,40.64
PFE,2019-05-10,40.72
PFE,2019-05-13,40.57
PFE,2019-05-14,40.66
PFE,2019-05-15,41.15
PFE,2019-05-16,41.64
PFE,2019-05-17,41.47
PFE,2019-05-20,41.59
PFE,2019-05-21,41.67
PFE,2019-05-22,41.99
PFE,2019-05-23,41.92
PFE,2019-05-28,41.9
PFE,2019-05-29,41.72
PFE,2019-05-30,41.9
PFE,2019-05-31,41.52
PFE,2019-06-03,41.92
PFE,2019-06-04,42.23
PFE,2019-06-05,42.48
PFE,2019-06-06,42.71
PFE,2019-06-07,42.92
PFE,2019-06-10,43.07
PFE,2019-06-11,42.67
PFE,2019-06-12,43.08
PFE,2019-06-13,42.5
PFE,2019-06-14,42.76
PFE,2019-06-17,42.88
PFE,2019-06-18,43.07
PFE,2019-06-19,43.5
PFE,2019-06-20,43.6
PFE,2019-06-21,43.67
PFE,2019-06-24,43.76
PFE,2019-06-25,43.76
PFE,2019-06-26,42.99
PFE,2019-06-27,43.43
PFE,2019-06-28,43.32
PFE,2019-07-01,43.77
PFE,2019-07-02,44.22
PFE,2019-07-05,43.92
PFE,2019-07-08,43.3
PFE,2019-07-09,43.37
PFE,2019-07-10,44.06
PFE,2019-07-11,42.98
PFE,2019-07-12,42.4
PFE,2019-07-15,42.75
PFE,2019-07-16,42.85
PFE,2019-07-17,42.74
PFE,2019-07-18,43.06
PFE,2019-07-19,42.77
PFE,2019-07-22,42.82
PFE,2019-07-23,43.09
PFE,2019-07-24,42.89
PFE,2019-07-25,42.67
PFE,2019-07-26,43.09
PFE,2019-07-29,41.45
PFE,2019-07-30,38.79
PFE,2019-07-31,38.84
PFE,2019-08-01,38.25
PFE,2019-08-02,38
PFE,2019-08-05,36.96
PFE,2019-08-06,36.95
PFE,2019-08-07,36.58
PFE,2019-08-08,36.87
PFE,2019-08-09,36.35
PFE,2019-08-12,35.39
PFE,2019-08-13,35.2
PFE,2019-08-14,34.24
PFE,2019-08-15,34.48
PFE,2019-08-16,34.65
PFE,2019-08-19,35.18
PFE,2019-08-20,34.61
PFE,2019-08-21,34.87
PFE,2019-08-22,35.08
PFE,2019-08-23,34.34
PFE,2019-08-26,34.84
PFE,2019-08-27,34.34
PFE,2019-08-28,35.08
PFE,2019-08-29,35.33
PFE,2019-09-03,36.12
PFE,2019-09-04,35.83
PFE,2019-09-05,36.34
PFE,2019-09-06,36.5
PFE,2019-09-09,36.83
PFE,2019-09-10,37.38
PFE,2019-09-11,37.41
PFE,2019-09-12,37.28
PFE,2019-09-13,36.91
PFE,2019-09-16,36.83
PFE,2019-09-17,36.5
PFE,2019-09-18,36.38
PFE,2019-09-19,36.51
PFE,2019-09-20,36.69
PFE,2019-09-23,36.24
PFE,2019-09-24,36.01
PFE,2019-09-25,35.9
PFE,2019-09-26,35.78
PFE,2019-09-27,36.22
PG,2019-03-20,101.72
PG,2019-03-21,102.49
PG,2019-03-22,101.66
PG,2019-03-25,101.96
PG,2019-03-26,103.02
PG,2019-03-27,102.9
PG,2019-03-28,103.55
PG,2019-03-29,104.05
PG,2019-04-01,103.64
PG,2019-04-02,103.75
PG,2019-04-03,103.69
PG,2019-04-04,103.43
PG,2019-04-05,103.65
PG,2019-04-08,104.97
PG,2019-04-09,104.66
PG,2019-04-10,104.65
PG,2019-04-11,104.75
PG,2019-04-12,105.06
PG,2019-04-15,105.73
PG,2019-04-16,106.42
PG,2019-04-17,105.85
PG,2019-04-22,106.01
PG,2019-04-23,103.16
PG,2019-04-24,103.69
PG,2019-04-25,103.28
PG,2019-04-26,105.86
PG,2019-04-29,104.78
PG,2019-04-30,106.48
PG,2019-05-01,104.93
PG,2019-05-02,105.56
PG,2019-05-03,106.08
PG,2019-05-06,105.68
PG,2019-05-07,104.7
PG,2019-05-08,105.07
PG,2019-05-09,104.24
PG,2019-05-10,106.01
PG,2019-05-13,106.11
PG,2019-05-14,105.6
PG,2019-05-15,106.7
PG,2019-05-16,108.11
PG,2019-05-17,107.45
PG,2019-05-20,107.33
PG,2019-05-21,106.37
PG,2019-05-22,106.72
PG,2019-05-23,106.76
PG,2019-05-28,104.46
PG,2019-05-29,104.19
